name,RMSE,R2,MAE,MSE
LD50_knn_Hmodel,0.5338188126938934,0.6466073877111277,0.3814786762034875,0.2849625247859181
LD50_SVM_Hmodel,0.5291181201264116,0.6528037822454029,0.3762223349983639,0.27996598504610776
LD50_RF_Hmodel,0.5295937303139386,0.6521793308518222,0.3766958956139568,0.2804695191878328
LD50_xgboost_Hmodel,0.5316294426518279,0.6495002066364852,0.3772585306189993,0.2826298642942931
LD50_knn_ecfp6bits,0.6166465933626274,0.5284341035360892,0.4449396434446718,0.3802530211057335
LD50_svm_ecfp6bits,0.6272928103348625,0.5120106587714162,0.4588840714822068,0.3934962698978097
LD50_RF_ecfp6bits,0.6039863134449712,0.5475986302371337,0.44492672186463794,0.36479946682884706
LD50_xgboost_ecfp6bits,0.5902802637767639,0.5678980346508893,0.4370897413821109,0.348430789804366
LD50_knn_ecfp6counts,0.6200604881255987,0.5231982595983636,0.4492022538165035,0.3844750089345557
LD50_svm_ecfp6counts,0.5981785124082912,0.5562571860946217,0.44076247914007216,0.35781753270699623
LD50_RF_ecfp6counts,0.6003342886155585,0.5530530122743749,0.4399806098153088,0.36040125808754864
LD50_xgboost_ecfp6counts,0.5881794629177786,0.5709682536008214,0.4303756195397603,0.3459550805982464
LD50_knn_maccs,0.5986981696383591,0.5554858634238983,0.4279333875518096,0.3584394983283213
LD50_svm_maccs,0.5756385216155411,0.5890685178599944,0.4187683577766416,0.3313597075677257
LD50_RF_maccs,0.579939757239545,0.5829045222564919,0.4242311759060618,0.3363301220270624
LD50_xgboost_maccs,0.5661826000982622,0.6024582425575309,0.4044404360914032,0.3205627366540286
LD50_knn_rdkit2d,0.5961135452895447,0.5593155798695881,0.4282437125676321,0.35535135887767016
LD50_svm_rdkit2d,0.6159608577749903,0.5294823205235977,0.4457286221871036,0.3794077783109019
LD50_RF_rdkit2d,0.5610687761326474,0.6096070938740459,0.4044353830802053,0.3147981715509868
LD50_xgboost_rdkit2d,0.5636514502087621,0.6060047611368384,0.4115559528400293,0.31770295732244064
LD50_knn_mordred,0.5909118723570687,0.5669728289834155,0.42249434999318985,0.34917684089253664
LD50_svm_mordred,0.6021210027532274,0.5503886472256951,0.4306320472000332,0.3625497019565521
LD50_RF_mordred,0.5752418300120282,0.5896346957428426,0.4174072925715021,0.33090316299558714
LD50_xgboost_mordred,0.5673764142986639,0.6007800159911025,0.41094936724990216,0.3219159955024092
Bmodel_avgp,0.551102116564148,0.6233535536399771,0.3982596802134405,0.3037135428814838
Hmodel_avgp,0.5265871621865624,0.6561173613191993,0.3736532183201069,0.27729403937969704
