name,Accuracy,Balance Accuracy,F1_score,MCC,AUROC
Toxic_knn_Hmodel,0.7988748241912799,0.7902522396588016,0.7979471620714984,0.5858879795561192,0.7902522396588016
Toxic_SVM_Hmodel,0.7964135021097046,0.7876789285065382,0.7954594267257374,0.5807797165332975,0.7876789285065382
Toxic_RF_Hmodel,0.80098452883263,0.7928465543340897,0.8001824084220864,0.5904359829676826,0.7928465543340897
Toxic_xgboost_Hmodel,0.80098452883263,0.7932818080642394,0.8002947289738286,0.5906455748791202,0.7932818080642394
Toxic_knn_ecfp6bits,0.7475386779184248,0.7353211944779461,0.7454861183892512,0.4783719224453518,0.7353211944779461
Toxic_svm_ecfp6bits,0.7338255977496484,0.7085017200113977,0.7240685776666368,0.4493373710477679,0.7085017200113977
Toxic_RF_ecfp6bits,0.7630098452883263,0.7448431289884552,0.7582520076151013,0.5099046034668507,0.7448431289884552
Toxic_xgboost_ecfp6bits,0.7461322081575246,0.7334465667843708,0.7438910103005255,0.4752274905819658,0.7334465667843707
Toxic_knn_ecfp6counts,0.7556258790436006,0.7434343746188367,0.7535756236226676,0.4951230791628949,0.7434343746188367
Toxic_svm_ecfp6counts,0.7566807313642757,0.7450035655378242,0.7548269858280715,0.497542986675633,0.7450035655378244
Toxic_RF_ecfp6counts,0.7563291139240507,0.7349049198348667,0.7496417398224366,0.4966501844902074,0.7349049198348667
Toxic_xgboost_ecfp6counts,0.7661744022503516,0.7527062912890039,0.7636171085615062,0.5166229165588091,0.7527062912890039
Toxic_knn_maccs,0.7675808720112518,0.7542544786849669,0.765082977362165,0.5195896289577226,0.754254478684967
Toxic_svm_maccs,0.7795358649789029,0.7671420379693086,0.7774116397343296,0.5447050872221036,0.7671420379693085
Toxic_RF_maccs,0.7827004219409283,0.7696733420755226,0.7803444773834884,0.5512043347848274,0.7696733420755226
Toxic_xgboost_maccs,0.7718002812939522,0.7584637871427059,0.7693045164758158,0.5283933172276756,0.7584637871427059
Toxic_knn_rdkit2d,0.7707454289732769,0.7586356111443175,0.7687215217672335,0.5265048621288012,0.7586356111443175
Toxic_svm_rdkit2d,0.7626582278481012,0.7513929384637263,0.7609493731483112,0.5100892513966584,0.7513929384637263
Toxic_RF_rdkit2d,0.7791842475386779,0.7662925340320337,0.7768733098482529,0.5438813700896754,0.7662925340320336
Toxic_xgboost_rdkit2d,0.7819971870604782,0.7715651774747084,0.7805527588073924,0.5503849347873861,0.7715651774747084
Toxic_knn_mordred,0.7696905766526021,0.759569129173691,0.768366062485542,0.5251499983360367,0.7595691291736912
Toxic_svm_mordred,0.7749648382559775,0.7645859345226558,0.7735462725556151,0.5358936457774778,0.7645859345226557
Toxic_RF_mordred,0.7819971870604782,0.7698241625541093,0.7799558824062754,0.5498733627116098,0.7698241625541095
Toxic_xgboost_mordred,0.7865682137834037,0.7771680570324098,0.7854395677626556,0.5602351747465131,0.7771680570324098
Bmodel_avgp,0.790436005625879,0.7771546451442133,0.7880032360089256,0.567372332233607,0.7771546451442133
Hmodel_avgp,0.8002812939521801,0.791909240487302,0.7994186679483828,0.5888867186680713,0.791909240487302
